Time (Sec);S1;S12;S16;S23;S24;S25;S26;S27;S28;S29;S3;S30;S31;S32;S33;S34;S35;S36;S37;S38;S40;S8;
0.0;19160.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;
0.12666666666666668;19160.0;99.9896928;99.98580319999999;99.98237119999999;99.98237119999999;99.98237119999999;99.98237119999999;99.989464;99.989464;99.989464;99.98993759999999;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.98580319999999;99.99016639999999;
0.22666666666666668;19160.0;99.9896928;99.98580319999999;99.98237119999999;99.98237119999999;99.98237119999999;99.98237119999999;99.989464;99.989464;99.989464;99.98993759999999;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.98580319999999;99.99016639999999;
0.32666666666666666;19160.0;99.9896928;99.98580319999999;99.98237119999999;99.98237119999999;99.98237119999999;99.98237119999999;99.989464;99.989464;99.989464;99.98993759999999;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.98580319999999;99.99016639999999;
0.42666666666666664;19160.0;99.9896928;99.98580319999999;99.98237119999999;99.98237119999999;99.98237119999999;99.98237119999999;99.989464;99.989464;99.989464;99.98993759999999;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.98580319999999;99.99016639999999;
0.5266666666666666;19160.0;99.9896928;99.98580319999999;99.98237119999999;99.98237119999999;99.98237119999999;99.98237119999999;99.989464;99.989464;99.989464;99.98993759999999;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.98580319999999;99.99016639999999;
0.6266666666666666;19160.0;99.9896928;99.98580319999999;99.98237119999999;99.98237119999999;99.98237119999999;99.98237119999999;99.989464;99.989464;99.989464;99.98993759999999;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.98580319999999;99.99016639999999;
0.7266666666666666;19160.0;99.9896928;99.98580319999999;99.98237119999999;99.98237119999999;99.98237119999999;99.98237119999999;99.989464;99.989464;99.989464;99.98993759999999;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.98580319999999;99.99016639999999;
0.8266666666666665;19160.0;99.9896928;99.98580319999999;99.98237119999999;99.98237119999999;99.98237119999999;99.98237119999999;99.989464;99.989464;99.989464;99.98993759999999;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.98580319999999;99.99016639999999;
0.9266666666666665;19160.0;99.9896928;99.98580319999999;99.98237119999999;99.98237119999999;99.98237119999999;99.98237119999999;99.989464;99.989464;99.989464;99.98993759999999;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.989464;99.98580319999999;99.99016639999999;
